BOOK	CH	VS	CLAUSE_ID	FINITE_GREEK	NODE_TYPE	PARENT_CLAUSE	RELATIONSHIP_TYPE	TREE_DEPTH	OWNERSHIP_CONFIDENCE	TREE_STATUS	SPAN_TEXT	NOTES
1corintios	1	4	C1	εὐχαριστῶ	root-or-unresolved			0		unresolved-root	==εὐχαριστῶ== τῷ θεῷ μου πάντοτε περὶ ὑμῶν ἐπὶ τῇ χάριτι τοῦ θεοῦ τῇ δοθείσῃ ὑμῖν ἐν χριστῷ ἰησοῦ	no ownership relationship resolved
1corintios	1	5	C1	ἐπλουτίσθητε	root-or-unresolved			0		unresolved-root	ὅτι ἐν παντὶ ==ἐπλουτίσθητε== ἐν αὐτῷ ἐν παντὶ λόγῳ καὶ πάσῃ γνώσει	no ownership relationship resolved
1corintios	1	6	C1	ἐβεβαιώθη	root-or-unresolved			0		unresolved-root	καθὼς τὸ μαρτύριον τοῦ χριστοῦ ==ἐβεβαιώθη== ἐν ὑμῖν	no ownership relationship resolved
1corintios	1	8	C1	βεβαιώσει	root-or-unresolved			0		unresolved-root	ὃς καὶ ==βεβαιώσει== ὑμᾶς ἕως τέλους ἀνεγκλήτους ἐν τῇ ἡμέρᾳ τοῦ κυρίου ἡμῶν ἰησοῦ χριστοῦ	no ownership relationship resolved
1corintios	1	9	C1	ἐκλήθητε	root-or-unresolved			0		unresolved-root	πιστὸς ὁ θεὸς διʼ οὗ ==ἐκλήθητε== εἰς κοινωνίαν τοῦ υἱοῦ αὐτοῦ ἰησοῦ χριστοῦ τοῦ κυρίου ἡμῶν	no ownership relationship resolved
1corintios	1	10	C1	παρακαλῶ	root-parent			0		unresolved-root	==παρακαλῶ==	no ownership relationship resolved
1corintios	1	10	C2	λέγητε	internal-node	C1	coordinate	1	medium	suggested	δὲ ὑμᾶς ἀδελφοί διὰ τοῦ ὀνόματος τοῦ κυρίου ἡμῶν ἰησοῦ χριστοῦ ἵνα τὸ αὐτὸ ==λέγητε==	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	1	10	C3	ᾖ	leaf	C2	coordinate	2	medium	suggested	πάντες καὶ μὴ ==ᾖ==	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	1	10	C4	ἦτε	root-or-unresolved			0		unresolved-root	ἐν ὑμῖν σχίσματα ==ἦτε== δὲ κατηρτισμένοι ἐν τῷ αὐτῷ νοῒ καὶ ἐν τῇ αὐτῇ γνώμῃ	no ownership relationship resolved
1corintios	1	11	C1	ἐδηλώθη	root-parent			0		unresolved-root	==ἐδηλώθη==	no ownership relationship resolved
1corintios	1	11	C2	εἰσιν	leaf	C1	subordinate	1	medium	suggested	γάρ μοι περὶ ὑμῶν ἀδελφοί μου ὑπὸ τῶν Χλόης ὅτι ἔριδες ἐν ὑμῖν ==εἰσιν==	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	1	12	C1	λέγω	root-parent			0		unresolved-root	==λέγω==	no ownership relationship resolved
1corintios	1	12	C2	λέγει	leaf	C1	coordinate	1	medium	suggested	δὲ τοῦτο ὅτι ἕκαστος ὑμῶν ==λέγει==	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	1	12	C3	εἰμι	root-or-unresolved			0		unresolved-root	ἐγὼ μέν ==εἰμι== παύλου ἐγὼ δὲ ἀπολλῶ ἐγὼ δὲ κηφᾶ ἐγὼ δὲ χριστοῦ	no ownership relationship resolved
1corintios	1	13	C1	μεμέρισται	root-or-unresolved			0		unresolved-root	==μεμέρισται==	no ownership relationship resolved
1corintios	1	13	C2	ἐσταυρώθη	root-parent			0		unresolved-root	ὁ χριστός μὴ παῦλος ==ἐσταυρώθη==	no ownership relationship resolved
1corintios	1	13	C3	ἐβαπτίσθητε	leaf	C2	coordinate	1	medium	suggested	ὑπὲρ ὑμῶν ἢ εἰς τὸ ὄνομα παύλου ==ἐβαπτίσθητε==	context-sensitive function; keep as suggested; coordinating connector between finite clauses; source and target clauses available
1corintios	1	14	C1	εὐχαριστῶ	root-parent			0		unresolved-root	==εὐχαριστῶ==	no ownership relationship resolved
1corintios	1	14	C2	ἐβάπτισα	leaf	C1	subordinate	1	medium	suggested	ὅτι οὐδένα ὑμῶν ==ἐβάπτισα== εἰ μὴ κρίσπον καὶ γάϊον	context-sensitive function; keep as suggested; subordinating connector before/near target finite clause; source and target clauses available
1corintios	1	15	C1	εἴπῃ	root-parent			0		unresolved-root	ἵνα μή τις ==εἴπῃ==	no ownership relationship resolved
1corintios	1	15	C2	ἐβαπτίσθητε	leaf	C1	subordinate	1	medium	suggested	ὅτι εἰς τὸ ἐμὸν ὄνομα ==ἐβαπτίσθητε==	context-sensitive function; keep as suggested; subordinating connector before/near target finite clause; source and target clauses available
1corintios	1	16	C1	ἐβάπτισα	root-parent			0		unresolved-root	==ἐβάπτισα==	no ownership relationship resolved
1corintios	1	16	C2	οἶδα	internal-node	C1	coordinate	1	medium	suggested	δὲ καὶ τὸν στεφανᾶ οἶκον λοιπὸν οὐκ ==οἶδα==	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	1	16	C3	ἐβάπτισα	leaf	C2	subordinate	2	medium	suggested	εἴ τινα ἄλλον ==ἐβάπτισα==	function follows connector inventory; subordinating connector before/near target finite clause; source and target clauses available
1corintios	1	17	C1	ἀπέστειλέν	root-parent			0		unresolved-root	οὐ γὰρ ==ἀπέστειλέν==	no ownership relationship resolved
